# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
1992bd      NGC1097                      0.113     0.47     0.02    0.124     0.49     0.02    0.124     0.31     0.02    0.140     0.28     0.03
1999eu      NGC1097                      0.823    -0.20     0.16    0.843    -0.10     0.26    0.856    -0.44     0.10    0.914    -0.31     0.47
2003B       NGC1097                      0.888    -0.34     0.18    0.904    -0.34     0.28    0.900    -0.61     0.11    0.940     0.20     0.75
1995V       NGC1087                      0.407    -0.32     0.06    0.456    -1.60     0.05    0.289    -2.87     0.03    0.400    -2.92     0.04
2003hk      NGC1085                      0.285     0.50     0.05    0.310    -0.30     0.05    0.169    -2.33     0.01    0.162    -3.07     0.05
1962K       NGC1090                      0.975    -4.17     0.12    0.947    -6.01     0.21    0.964    -9.54     1.63    1.000   -14.37    89.64
1971T       NGC1090                      0.653    -0.93     0.08    0.606    -2.84     0.05    0.585    -4.92     0.04    1.000    -5.97     0.16
2011js      NGC1103                      0.871    -0.34     0.08    0.863    -0.47     0.12    0.915    -1.84     0.07    0.846    -1.18     0.24
2009ie      NGC1093                      1.000    -1.38     0.31    1.000    -1.42     0.49    0.999    -0.42     0.45    0.999    -1.14     1.08
2003hm      UGC02295                     0.006     2.14     0.04    0.005     1.93     0.06    0.002     0.97     0.03    0.001     0.57     0.17
2010he      NGC1120                      1.000    -3.60     0.20    1.000    -5.22     0.22    1.000   -11.45    11.57    1.000    -9.59     3.58
2008ey      IC0262                       0.450     0.08     0.07    0.416    -0.75     0.08    0.286    -5.58     0.13    0.291    -6.23     0.62
2007ke      NGC1129                      0.381    -0.28     0.08    0.384    -1.13     0.08    0.319    -5.91     0.09    0.396    -6.51     0.44
2006os      UGC02384                     0.641     0.02     0.07    0.634     0.03     0.11    0.573    -0.11     0.07    0.369     0.07     0.39
2012fx      ESO417-003                   0.278     0.53     0.07    0.263    -0.12     0.08    0.090    -3.61     0.03    0.071    -4.31     0.13
2004go      IC0270                       1.000    -3.15     0.17    1.000    -5.44     0.18    1.000    -8.97     0.55    1.000   -10.28     6.02
2006av      ESO356-022                   0.834    -0.57     0.13    0.829    -1.84     0.11    0.854    -4.28     0.03    0.847    -4.53     0.10
2005aj      UGC02411                     0.718    -1.57     0.07    0.731    -2.10     0.09    0.735    -4.57     0.05    0.488    -5.09     0.26
2003kd      UGC02468                     0.043     0.53     0.05    0.042     0.47     0.08    0.019     0.91     0.19    0.008     1.12     2.32
2011D       UGC02498                     1.000    -0.87     0.28    1.000    -1.21     0.40    1.000    -0.21     0.48    1.000   -99.00    -9.00
1982R       NGC1187                      0.822    -0.92     0.12    0.813    -2.14     0.10    0.839    -4.43     0.02    0.886    -4.61     0.07
2007Y       NGC1187                      0.950    -1.99     0.17    0.942    -3.61     0.12    0.952    -6.29     0.06    0.967    -6.34     0.19
2011ar      UGC02509                     0.632     0.48     0.08    0.613     0.48     0.12    0.515     0.46     0.05    0.443    -0.09     0.22
2008R       NGC1200                      0.403    -0.75     0.05    0.404    -1.22     0.07    0.349    -1.74     0.09    1.000    -6.00     0.60
2003hv      NGC1201                      0.850    -0.15     0.11    0.846    -1.31     0.10    0.827    -6.38     0.11    1.000    -8.49     2.61
1992bc      ESO300-009                   0.935    -1.49     0.19    0.920    -3.18     0.15    0.915    -5.93     0.17    0.830    -6.21     0.61
2005ek      UGC02526                     0.922    -1.35     0.12    0.912    -2.77     0.10    0.941    -6.10     0.10    0.927    -6.25     0.31
2009bt      UGC02542                     0.380     1.06     0.05    0.386     0.83     0.06    0.371    -1.44     0.02    0.271    -1.88     0.06
2008ak      UGC02519                     0.403    -0.20     0.06    0.404    -0.22     0.08    0.426    -0.27     0.03    0.376    -0.19     0.12
2009lj      NGC1233                      0.832    -0.08     0.12    0.832    -0.20     0.17    0.814     0.19     0.07    0.703     0.36     0.31
2000F       IC0302                       0.392     0.03     0.09    0.402    -1.13     0.08    0.203    -3.92     0.02    0.195    -4.55     0.11
1980O       NGC1255                      0.988    -1.08     0.34    0.989    -1.26     0.51    0.989    -2.00     0.21    0.985    -0.67     1.30
2005em      IC0307                       0.896    -1.27     0.13    0.900    -2.83     0.11    0.885    -6.26     0.18    0.847    -6.46     0.58
2012ic      PGC012029                    0.244     0.36     0.07    0.226     0.31     0.10    0.160     0.21     0.05    0.119     0.09     0.24
2006dr      NGC1288                      0.211     0.20     0.07    0.194    -0.37     0.08    0.059    -3.49     0.02    0.060    -3.87     0.10
2006gj      UGC02650                     0.841     0.02     0.15    0.834     0.09     0.23    0.818     1.29     0.50    0.468   -99.00    -9.00
2004F       NGC1285                      0.421    -0.21     0.05    0.411    -0.57     0.06    0.379    -1.76     0.01    0.299    -2.06     0.05
2013el      NGC1285                      0.565    -0.08     0.07    0.554    -0.72     0.07    0.538    -2.09     0.01    0.436    -2.41     0.05
1962M       NGC1313                      0.350    -0.30     0.13    0.358    -1.58     0.11    0.309    -4.00     0.02    0.339    -3.47     0.07
1978K       NGC1313                      0.852    -1.67     0.17    0.871    -3.60     0.12    0.827    -5.78     0.04    0.869    -5.65     0.11
2001ev      UGC02653                     0.651     0.61     0.11    0.660     0.67     0.18    0.601     0.23     0.07    0.527     0.32     0.32
2007D       UGC02653                     0.240     0.57     0.05    0.243     0.58     0.08    0.192     0.49     0.04    0.148     0.33     0.20
1968A       NGC1275                      0.578    -0.15     0.07    0.714    -0.82     0.08    0.858    -3.48     0.02    0.851    -1.73     0.04
2005mz      NGC1275                      0.587    -0.05     0.07    0.721    -0.79     0.08    0.862    -3.59     0.02    0.861    -1.75     0.05
2003if      NGC1302                      0.350     0.41     0.06    0.339     0.41     0.10    0.165     0.33     0.12    0.130     0.31     0.70
2009hh      NGC1301                      0.489    -0.18     0.06    0.486    -0.74     0.07    0.433    -2.76     0.02    0.322    -3.46     0.07
1965J       NGC1310                      0.257     0.24     0.08    0.258     0.20     0.13    0.228     0.13     0.06    0.205     0.03     0.27
2002fk      NGC1309                      0.230     0.52     0.06    0.211     0.52     0.08    0.116     0.26     0.04    0.096     0.17     0.15
2012Z       NGC1309                      0.844     0.41     0.19    0.843     0.33     0.26    0.823     0.20     0.10    0.786     0.03     0.29
2002gy      UGC02701                     0.044     0.36     0.04    0.041     0.34     0.07    0.021     0.18     0.13    0.020    -0.06     0.70
1980N       NGC1316                      0.845     0.29     0.25    0.865     0.35     0.41    0.992    -0.92     0.42    0.809   -99.00    -9.00
1981D       NGC1316                      0.637    -0.32     0.08    0.657    -0.31     0.14    0.791    -0.41     0.20    0.634     0.36     1.46
2006dd      NGC1316                      0.185     0.17     0.02    0.186     0.08     0.03    0.221     0.01     0.04    0.185    -0.13     0.17
2006mr      NGC1316                      0.145     0.17     0.02    0.144     0.21     0.03    0.168     0.24     0.04    0.134     0.29     0.18
2002es      UGC02708                     0.868     0.49     0.18    0.874     0.46     0.29    0.931     1.45     0.96    1.000   -99.00    -9.00
1975S       NGC1325                      0.955    -0.68     0.27    0.965    -0.30     0.52    0.963     0.28     0.46    0.947    -1.67     1.02
1994aa      NGC1320                      0.961    -4.13     0.06    0.961    -4.33     0.09    0.947    -6.18     0.10    0.944    -4.87     0.10
2006H       A032601+4041                 0.172     0.30     0.08    0.159     0.23     0.13    0.206    -0.09     0.44    0.205     0.40     1.55
1982E       NGC1332                      1.000    -5.53     0.86    1.000    -7.87     1.28    1.000   -13.81    30.66    1.000    -9.51     2.62
2008ed      UGC02740                     0.991    -2.53     0.16    1.000    -3.28     0.43    0.990    -3.59     0.76    1.000    -3.04     2.98
1992bs      A032927-3716                 0.519     1.34     0.19    0.523     1.31     0.27    0.405     0.73     0.10    0.277     0.24     0.43
1959A       NGC1350                      0.575    -0.30     0.07    0.569    -1.03     0.08    0.408    -3.98     0.02    0.420    -4.70     0.09
2009im      NGC1355                      0.966    -3.14     0.10    0.971    -3.93     0.16    0.930    -8.28     1.52    1.000    -7.45     1.81
1957C       NGC1365                      0.661    -0.77     0.07    0.714    -1.48     0.08    0.710    -3.01     0.02    0.813    -3.03     0.06
1983V       NGC1365                      0.549    -0.25     0.08    0.619    -0.98     0.09    0.624    -2.76     0.02    0.757    -2.52     0.06
2001du      NGC1365                      0.654    -1.15     0.06    0.707    -1.62     0.07    0.704    -2.97     0.02    0.809    -2.99     0.06
2012fr      NGC1365                      0.502     0.17     0.09    0.580    -0.62     0.09    0.591    -2.47     0.02    0.731    -2.29     0.06
2005ke      NGC1371                      0.563    -0.01     0.09    0.568    -0.93     0.09    0.297    -5.26     0.06    0.217    -6.04     0.35
2003in      IC1956                       0.911    -2.34     0.07    0.914    -2.38     0.10    0.902    -2.21     0.06    0.802    -1.63     0.21
2013fv      UGC02789                     0.536     0.42     0.07    0.543     0.35     0.09    0.481     0.15     0.04    0.501     0.62     0.16
1992A       NGC1380                      0.663     0.07     0.07    0.657     0.08     0.10    0.666     0.08     0.18    0.657     0.22     0.90
1992bp      A033637-1821                 0.435     1.09     0.15    0.433     1.09     0.22    0.270     0.47     0.13    0.130     0.01     0.67
1999go      NGC1376                      0.352    -0.17     0.07    0.362    -0.86     0.08    0.340    -2.63     0.01    0.318    -3.00     0.06
2003lo      NGC1376                      0.486    -0.13     0.09    0.498    -1.07     0.09    0.484    -2.98     0.02    0.465    -3.33     0.06
2011dx      NGC1376                      0.878    -1.26     0.12    0.893    -2.57     0.10    0.889    -4.86     0.04    0.874    -5.21     0.14
2008dv      NGC1343                      0.224     0.59     0.03    0.219     0.37     0.05    0.214    -0.98     0.01    0.201    -1.05     0.05
2003O       UGC02798                     1.000    -1.99     0.68    1.000    -1.77     0.49    0.964    -2.10     0.13    0.935    -1.47     0.37
1976L       NGC1411                      1.000    -9.00    19.29    1.000    -7.03     0.94    1.000   -12.20    28.08    1.000   -10.26     8.14
2007on      NGC1404                      0.769     0.15     0.12    0.767     0.16     0.19    0.706     0.17     0.26    0.614     0.31     1.64
2011iv      NGC1404                      0.225     0.47     0.02    0.214     0.45     0.03    0.165     0.36     0.04    0.107     0.20     0.29
1996N       NGC1398                      0.480     0.16     0.06    0.468    -0.40     0.08    0.181    -3.32     0.02    0.165    -4.08     0.09
2005ew      A033923+3502                 0.001   -99.00    -9.00    0.004   -99.00    -9.00    0.006   -99.00    -9.00    0.004   -99.00    -9.00
2002jj      IC0340                       0.079     0.01     0.07    0.071    -0.63     0.08    0.045    -3.51     0.06    0.045    -4.07     0.28
2004ei      UGC02817                     0.062     0.32     0.05    0.058     0.29     0.08    0.031    -0.01     0.07    0.021    -0.14     0.44
2006kf      UGC02829                     0.463     1.55     0.09    0.432     1.50     0.14    0.313     0.68     0.19    0.260     1.86     1.85
2010it      NGC1417                      0.077     0.26     0.03    0.069     0.24     0.04    0.027     0.06     0.04    0.021    -0.07     0.18
1985P       NGC1433                      0.436    -0.19     0.09    0.438    -0.92     0.10    0.308    -3.98     0.02    0.311    -4.57     0.09
2008fb      UGC02813                     0.237    -0.46     0.11    0.216    -1.68     0.11    0.314    -5.55     0.19    0.086    -5.85     0.74
2005gm      NGC1423                      0.689     0.88     0.12    0.690     1.03     0.19    0.590     0.69     0.08    0.488     0.78     0.40
1983S       NGC1448                      0.763    -0.09     0.08    0.765    -0.74     0.09    0.748    -2.43     0.02    0.686    -2.58     0.06
2001el      NGC1448                      0.756     0.14     0.09    0.758    -0.59     0.09    0.740    -2.34     0.02    0.677    -2.54     0.06
2003hn      NGC1448                      0.579    -0.02     0.05    0.577    -0.26     0.07    0.534    -1.42     0.02    0.468    -1.72     0.06
2014df      NGC1448                      1.000    -6.93     0.88    1.000    -7.77     2.14    1.000    -8.15     0.54    1.000    -8.47     2.13
2003lb      UGC02850                     0.174     0.29     0.11    0.163     0.43     0.18    0.130     0.12     0.15    0.135    -0.24     0.70
2008hy      IC0334                       0.930    -1.57     0.12    0.932    -2.83     0.11    0.896    -6.73     0.13    0.808    -7.77     1.08
2008G       UGC02851                     0.660     0.48     0.10    0.675     0.45     0.15    0.704     0.65     0.06    0.649     1.18     0.26
