# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2006em      NGC0911                      0.955     0.40     0.37    0.946     0.37     0.56    0.900    -0.08     0.70    1.000   -99.00    -9.00
2009js      NGC0918                      0.517    -0.35     0.09    0.520    -2.50     0.05    0.541    -4.09     0.02    0.542    -4.70     0.06
2011ek      NGC0918                      1.000    -4.28     0.17    1.000    -8.46     4.32    1.000   -11.82    10.00    1.000    -9.96     4.59
2004eh      UGC01892                     0.441     0.40     0.11    0.435     0.40     0.17    0.337     0.04     0.08    0.257     0.54     0.58
2007E       NGC0921                      0.806     0.77     0.28    0.835     0.80     0.44    0.844     0.92     0.24    0.823   -99.00    -9.00
2003gs      NGC0936                      0.279     0.61     0.04    0.262     0.16     0.05    0.212    -4.07     0.02    0.133    -5.37     0.15
2009jq      UGC01919                     0.618     0.55     0.30    0.658     0.07     0.35    0.885    -0.18     0.16    0.865     1.75     0.89
2005eu      A022743+2810                 0.304     1.05     0.15    0.265     0.98     0.22    0.148     0.53     0.14    0.101     0.42     0.75
1992bf      NGC0930                      0.369     0.48     0.06    0.375    -0.41     0.07    0.172    -4.27     0.03    0.155    -5.23     0.17
2006F       NGC0935                      0.422     0.15     0.06    0.411    -0.56     0.06    0.320    -2.33     0.01    0.272    -2.83     0.04
2009lw      NGC0931                      0.992    -4.26     0.14    0.995    -5.21     0.25    0.984    -6.82     0.16    0.991    -7.00     0.51
2005ad      NGC0941                      0.775    -1.61     0.14    0.792    -3.41     0.11    0.797    -6.44     0.09    0.751    -6.69     0.31
1998dt      NGC0945                      0.746    -0.71     0.11    0.744    -2.07     0.09    0.702    -4.91     0.03    0.780    -5.39     0.10
2005A       NGC0958                      0.439    -0.39     0.03    0.424    -0.59     0.04    0.334    -1.62     0.01    0.277    -2.03     0.04
1985R       IC1809                       0.835    -0.13     0.16    0.845    -0.09     0.23    0.877     0.14     0.09    0.775    -0.15     0.18
2012hc      NGC0986A                     0.002     0.90     0.15    0.002    -0.65     0.16    0.001    -5.07     0.64    0.003    -3.12     0.58
1976J       NGC0977                      0.669    -0.44     0.13    0.661    -2.06     0.10    0.327    -6.06     0.11    0.496    -6.56     0.46
2010gr      UGC02035                     0.684     0.24     0.08    0.647    -0.62     0.08    0.614    -2.36     0.01    0.503    -2.81     0.06
1999dq      NGC0976                      0.232     0.74     0.03    0.216     0.42     0.04    0.120    -1.44     0.01    0.099    -1.95     0.04
1997dp      NGC0969                      0.800    -0.65     0.11    0.786    -2.03     0.09    0.722    -6.00     0.10    0.668    -7.06     0.70
1961P       UGC02069                     0.970    -1.50     0.19    0.974    -3.36     0.17    0.982    -6.69     0.17    0.982    -7.29     0.79
2004dn      UGC02069                     0.850    -1.60     0.15    0.854    -2.89     0.13    0.868    -5.07     0.05    0.871    -5.31     0.16
1976F       UGC02100                     0.531    -0.56     0.19    0.500    -0.30     0.32    0.530     0.32     0.28    0.342     0.16     0.90
2009ig      NGC1015                      0.470     0.52     0.12    0.454     0.63     0.20    0.181    -0.05     0.20    0.136     0.67     1.51
2011jf      UGC02134                     0.039     3.34     0.15    0.037     3.24     0.22    0.026     3.14     0.12    0.018     2.85     0.58
1937D       NGC1003                      0.509    -0.30     0.09    0.506    -0.42     0.13    0.472    -0.85     0.06    0.393    -0.88     0.20
2005E       NGC1032                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    0.820    -0.30     0.77
1990E       NGC1035                      0.459     0.17     0.05    0.466    -0.24     0.06    0.445    -1.90     0.01    0.367    -2.39     0.04
