# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2009I       NGC1080                      0.479     0.30     1.50    0.499     0.33     1.42    0.523     0.55     1.68
1995ak      IC1844                       0.300    -0.59     0.97    0.357    -0.99     0.90    0.363    -1.46     0.94
1963P       NGC1084                      0.619     0.98     1.72    0.647     0.88     1.53    0.655     0.84     1.66
1996an      NGC1084                      0.741    -2.08     0.63    0.766    -2.14     0.59    0.774    -2.12     0.65
1998dl      NGC1084                      0.652    -0.63     0.89    0.680    -0.62     0.84    0.688    -0.64     0.91
2009H       NGC1084                      0.735    -1.57     0.77    0.760    -1.56     0.74    0.768    -1.79     0.74
2012ec      NGC1084                      0.514    -0.60     0.62    0.542    -0.63     0.57    0.551    -0.57     0.64
1992bd      NGC1097                      0.108     0.30     0.27    0.117     0.33     0.24    0.134     0.33     0.26
1999eu      NGC1097                      0.835    -0.44     2.39    0.841    -0.73     1.87    0.876    -0.70     2.36
2003B       NGC1097                      0.906     0.74     5.24    0.912     0.41     3.99    0.936    -0.77     2.88
1995V       NGC1087                      0.443    -0.01     1.26    0.550    -0.08     1.21    0.498    -0.04     1.31
2003hk      NGC1085                      0.325     0.48     0.88    0.227     0.45     0.78    0.292     0.38     0.82
1962K       NGC1090                      0.975    -3.58     2.36    0.934    -2.55     2.19    0.993    -3.53     2.30
1971T       NGC1090                      0.662    -0.25     1.76    0.607    -0.73     1.36    0.719    -0.27     1.80
2006lg      UGC02243                     0.436    -0.25     1.10    0.468    -0.11     1.06    0.516    -0.16     1.10
2011js      NGC1103                      0.859    -2.18     1.31    0.895    -2.47     1.19    0.967    -3.37     1.37
2006ab      PGC010652                    0.387     0.65     1.40    0.474     0.72     1.19    0.506     0.58     1.18
2003hm      UGC02295                     0.000     3.80     0.66    0.000     4.15     0.59    0.000     4.14     0.64
2010he      NGC1120                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000    -2.32     5.65
2006eh      UGC02308                     0.304     0.48     0.98    0.298     0.46     0.86    0.331     0.47     0.92
2009iq      UGC02308                     0.563    -0.20     1.63    0.544     0.06     1.61    0.597    -0.22     1.53
2008ey      IC0262                       0.469     0.06     1.48    0.498    -0.01     1.28    0.461     0.05     1.42
2000dp      NGC1139                      0.989     1.44    24.58    0.973   -99.00    -9.00    0.948   -99.00    -9.00
2007ke      NGC1129                      0.391     0.24     1.67    0.378     0.34     1.53    0.396     0.11     1.55
2006os      UGC02384                     0.669    -0.29     1.31    0.667    -0.39     1.12    0.743    -0.42     1.19
2012fx      ESO417-003                   0.291     0.37     1.33    0.312     0.41     1.23    0.297     0.53     1.46
2004go      IC0270                       1.000   -99.00    -9.00    1.000    -0.12    12.30    1.000   -99.00    -9.00
2005et      UGC02413                     0.790    -0.75     3.23    0.934     0.08     5.36    0.846     0.33     6.14
1994ah      ESO356-019                   0.347     0.23     1.62    0.380     0.13     1.37    0.337     0.10     1.61
1981I       ESO356-020                   0.670     0.92     3.51    0.685     0.63     2.75    0.636     0.16     2.31
2006av      ESO356-022                   0.824    -0.32     2.42    0.869     0.02     2.62    0.859     0.07     3.10
2005aj      UGC02411                     0.641    -1.17     1.53    0.724    -0.98     1.37    0.679    -1.12     1.45
2003ht      UGC02457                     0.229     0.29     1.15    0.255     0.33     1.02    0.259     0.36     1.10
2003kd      UGC02468                     0.086     0.61     0.85    0.092     0.56     0.72    0.093     0.68     0.81
2001dw      NGC1168                      0.766     0.23     3.12    0.785    -0.18     2.25    0.851    -0.32     2.64
1993ab      NGC1164                      0.783     0.28     2.35    0.798     0.25     2.20    0.819     0.51     2.67
2005do      UGC02495                     1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
1982R       NGC1187                      0.768    -0.26     2.49    0.673   -99.00    -9.00    0.861   -99.00    -9.00
2007Y       NGC1187                      0.922   -99.00    -9.00    0.853    -1.33     2.15    0.979    -0.77     4.35
2008R       NGC1200                      0.441    -0.84     0.93    0.445    -0.84     0.84    0.449    -0.81     0.94
2003hv      NGC1201                      0.835    -0.02     1.82    0.820     0.13     1.76    0.852     0.19     2.05
1992bc      ESO300-009                   0.912     2.22    24.57    0.915   -99.00    -9.00    0.962    -3.05     4.33
2005ek      UGC02526                     0.871     0.41     3.02    0.867     0.41     2.65    0.687     1.87     5.64
2000fs      NGC1218                      0.001     3.79     0.26    0.002     3.93     0.22    0.002     3.97     0.24
2009bt      UGC02542                     0.307     1.00     0.92    0.382     1.12     0.77    0.380     1.16     0.77
2008ak      UGC02519                     0.248    -0.20     1.13    0.238    -0.23     1.00    0.331    -0.33     1.03
1975J       A031206+4209                 0.457   -99.00    -9.00    0.506   -99.00    -9.00    0.525   -99.00    -9.00
2009lj      NGC1233                      0.895    -0.49     2.05    0.885    -0.43     1.96    0.917    -0.32     2.17
2000F       IC0302                       0.399    -0.51     1.27    0.453    -0.15     1.34    0.424    -0.01     1.55
1980O       NGC1255                      1.000    -1.93     7.14    1.000    -1.56     4.84    0.999   -99.00    -9.00
2005em      IC0307                       0.814    -0.68     3.38    0.563     0.22     3.48    0.864     0.67     5.64
2006dr      NGC1288                      0.244     0.18     1.18    0.236     0.28     1.12    0.254     0.17     1.19
2008L       NGC1259                      0.783     0.08     1.92    0.776     0.06     1.69    0.786     0.19     1.96
2006gy      NGC1260                      0.082    -0.16     0.33    0.082    -0.17     0.28    0.089    -0.17     0.29
2006gj      UGC02650                     0.902     0.06     3.23    0.902    -0.75     2.24    0.846    -0.71     2.48
2004F       NGC1285                      0.455    -0.37     0.90    0.452    -0.32     0.84    0.512    -0.51     0.85
2013el      NGC1285                      0.593     0.10     1.39    0.583     0.02     1.25    0.648     0.23     1.52
1964B       UGC02646                     0.819    -1.69     2.61    0.900    -1.70     1.97    0.711    -2.10     1.85
1962M       NGC1313                      0.397    -0.15     2.35    0.418     1.34     4.49    0.400   -99.00    -9.00
1978K       NGC1313                      0.909    -1.66     3.58    0.960   -99.00    -9.00    0.920   -99.00    -9.00
2001ev      UGC02653                     0.800     0.15     2.28    0.949     0.55     2.79    0.902     1.36     3.63
2007D       UGC02653                     0.374     0.38     1.05    0.482     0.46     0.91    0.453     0.47     0.93
2008fg      NGC1268                      0.950    -1.38     3.42    0.905   -99.00    -9.00    0.882    -5.68    69.97
1975B       PGC012417                    0.789     0.64     1.82    0.736     0.66     1.61    0.694     0.53     1.65
1968A       NGC1275                      0.480     0.01     1.37    0.466     0.16     1.28    0.491     0.08     1.33
2005mz      NGC1275                      0.490     0.28     1.58    0.476    -0.00     1.21    0.501    -0.01     1.31
2003if      NGC1302                      0.349     0.16     0.95    0.360     0.33     0.96    0.317     0.21     1.01
2009hh      NGC1301                      0.545    -0.09     1.13    0.610    -0.13     1.01    0.533    -0.03     1.11
1965J       NGC1310                      0.276     0.19     1.38    0.286     0.15     1.28    0.289     0.18     1.42
2002fk      NGC1309                      0.282     0.27     0.91    0.287     0.26     0.85    0.284     0.57     1.06
2012Z       NGC1309                      0.825    -0.49     2.62    0.824     0.58     3.70    0.809     4.38    24.57
1980N       NGC1316                      0.815    -0.01     3.66    0.863   -99.00    -9.00    0.836     0.12     4.28
1981D       NGC1316                      0.626    -0.35     1.36    0.710    -0.40     1.35    0.670    -0.12     1.65
2006dd      NGC1316                      0.189     0.07     0.33    0.227     0.08     0.30    0.216     0.08     0.33
2006mr      NGC1316                      0.153     0.03     0.27    0.185     0.04     0.25    0.177     0.06     0.27
2002es      UGC02708                     0.518     0.08     3.79    0.517    -0.19     2.47    0.473     0.50     3.58
1975S       NGC1325                      0.925    -0.59     4.10    0.925    -0.83     3.29    0.977    -1.62     2.57
1994aa      NGC1320                      0.932    -4.54     1.06    0.810    -3.53     0.88    0.955    -4.62     1.14
2006H       A032601+4041                 0.320     0.67     1.04    0.313     0.59     0.90    0.313     0.77     1.05
1982E       NGC1332                      0.787   -99.00    -9.00    0.891   -99.00    -9.00    0.861    -2.89     3.43
2008ed      UGC02740                     0.999    -4.31     2.62    0.981    -3.91     3.66    0.969    -5.86    13.06
1992bs      A032927-3716                 0.807     0.66     2.94    0.790     1.19     3.58    0.843     1.24     3.79
1969M       PGC012992                    0.360     0.38     1.76    0.416     0.32     1.49    0.532     0.27     1.59
1959A       NGC1350                      0.675    -1.13     1.23    0.650    -1.63     1.13    0.634    -2.16     1.20
1993Y       UGC02771                     0.748     1.87     6.57    0.740     0.64     3.17    0.753     0.83     4.49
2009im      NGC1355                      0.973    -3.62     1.64    0.966    -3.46     1.66    0.969    -3.57     2.05
1957C       NGC1365                      0.676    -1.20     1.59    0.721    -1.46     1.77    0.774    -2.53     1.48
1983V       NGC1365                      0.525    -1.01     1.48    0.581    -1.41     1.46    0.634    -2.13     1.45
2001du      NGC1365                      0.666    -1.88     1.15    0.712    -2.53     1.07    0.765    -3.07     1.13
2012fr      NGC1365                      0.462    -0.71     1.52    0.518    -1.07     1.50    0.574    -1.56     1.69
2003in      IC1956                       0.896    -1.97     1.58    0.926    -2.24     1.17    0.932    -2.44     1.21
1992A       NGC1380                      0.657    -0.14     0.99    0.682     0.07     1.02    0.701    -0.04     1.07
1992bp      A033637-1821                 0.629     0.77     2.23    0.645     2.14     4.10    0.608     0.43     1.77
1999go      NGC1376                      0.412    -0.05     1.44    0.385     0.02     1.34    0.338    -0.09     1.43
2003lo      NGC1376                      0.560     0.20     1.93    0.518     0.14     1.75    0.460     0.48     2.19
2011dx      NGC1376                      0.952    -0.30     3.62    0.880    -0.97     2.25    0.779     0.57     5.64
2008dv      NGC1343                      0.294     0.46     0.62    0.284     0.44     0.53    0.289     0.45     0.57
2003O       UGC02798                     0.965    -1.91     2.17    0.952    -1.80     1.76    0.952    -1.70     2.13
1976L       NGC1411                      1.000    -3.63     2.88    1.000   -99.00    -9.00    1.000    -1.26     5.81
2007on      NGC1404                      0.784     0.23     1.91    0.828     0.55     2.16    0.818     0.22     2.00
2011iv      NGC1404                      0.260     0.27     0.27    0.283     0.27     0.25    0.284     0.28     0.27
1996N       NGC1398                      0.486     0.24     1.04    0.504     0.22     0.94    0.519     0.22     1.05
2005ew      A033923+3502                 0.049   -99.00    -9.00    0.070   -99.00    -9.00    0.038   -99.00    -9.00
