 1960L                  330.17345833  17.72219444      6.0    -54.0  NGC7177                        330.17204167  17.73802778
 1960M                  124.94766667  22.04136111    -13.0     34.0  NGC2565                        124.95154167  22.03152778
 1960N                  126.53325000  21.45902778     11.0     12.0  UGC04399                       126.53100000  21.45666667
 1960O                  354.10645833  27.93902778     -1.0     10.0  UGC12701                       354.10708333  27.93547222
 1960P                   16.54183333  31.40655556      4.0      2.0  UGC00673                        16.54029167  31.40566667
 1960Q                   23.97904167  -5.49838889      1.0     -2.0  PGC005935                       23.97900000  -5.49763889
 1960R                  186.35354167  18.15544444      8.0   -132.0  NGC4382                        186.35037500  18.19113889
 1961A                   41.01862500   0.78233333      9.0     27.0  MCG+00-08-002                   41.01604167   0.77486111
 1961B                  126.44216667  19.45411111      9.0     18.0  IC2363                         126.43945833  19.44941667
 1961C                   33.85475000  41.11375000      3.0     -8.0  MCG+07-05-029                   33.85341667  41.11563889
 1961D                  192.73504167  27.83863889     32.0    -12.0  MCG+05-30-101                  192.72545833  27.84183333
 1961E                  229.39625000   5.05386111    -10.0     -2.0  MCG+01-39-014A                 229.39912500   5.05463889
 1961F                  147.15958333  33.42638889     34.0     17.0  NGC3003                        147.14850000  33.42200000
 1961G                  155.58625000  21.22288889     -9.0     -2.0  MCG+04-25-012                  155.58804167  21.22355556
 1961H                  189.11383333  11.44025000     -0.0      5.0  NGC4564                        189.11250000  11.43855556
 1961I                  185.50170833   4.47033333     82.0    -12.0  NGC4303                        185.47929167   4.47461111
 1961J                  242.94820833  29.57258333     -1.0     -1.0  MCG+05-38-027                  242.94883333  29.57305556
 1961K                  180.83254167  16.50902778    -10.0     -5.0  MCG+03-31-025                  180.83570833  16.51030556
 1961L                  155.57925000  21.58447222    -19.0     53.0  NGC3221                        155.58408333  21.57077778
 1961M                   17.50300000  32.37827778     16.0     37.0  UGC00724                        17.49754167  32.36822222
 1961N                  354.66183333  27.00941667      1.0     -7.0  IC5342                         354.66195833  27.01125000
 1961O                   36.68208333  43.61475000     -2.0     10.0  MCG+07-06-019                   36.68329167  43.61391667
 1961P                   38.90545833  37.62875000     -0.0    -36.0  UGC02069                        38.90545833  37.63875000
 1961Q                   21.67250000   2.02552778    -20.0     13.0  NGC0550                         21.67750000   2.02233333
 1961R                   17.50612500  32.91530556    -11.0      5.0  MCG+05-03-076                   17.51054167  32.91369444
 1961S                  155.25816667  21.71497222     19.0     -6.0  MCG+04-25-005                  155.25229167  21.71655556
 1961T                  144.74650000  33.45269444     -3.0      5.0  MCG+06-21-066                  144.74762500  33.45180556
 1961U                  178.23658333  44.15041667     81.0    104.0  NGC3938                        178.20520833  44.12152778
 1961V                   40.90175000  37.34544444     76.0     17.0  NGC1058                         40.87662500  37.34094444
 1962A                  196.64816667  27.87494444    -11.0      7.0  MCG+05-31-132                  196.65187500  27.87316667
