# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2009hn      UGC02005                     0.704    -3.12     9.00    0.648    -2.21     9.00
2012hc      NGC0986A                     0.006     4.77     0.17    0.003     3.41     0.07
1976J       NGC0977                      0.130     1.38     1.14    0.189     3.52     1.31
2007ir      UGC02033                     0.177    -0.00     0.30    0.229     0.25     0.13
2010gr      UGC02035                     0.399     0.73     0.39    0.440     1.18     0.20
1999dq      NGC0976                      0.060     0.61     0.21    0.080     0.42     0.07
1997dp      NGC0969                      0.167    -2.85     1.03    0.453    -1.02     0.54
2005dd      UGC02062                     0.247     0.56     0.09    0.262     0.66     0.04
1996br      UGC02058                     0.027     1.56     1.56    0.072     6.28     3.26
1984L       NGC0991                      0.457    -1.58     0.04    0.482    -1.20     0.03
1961P       UGC02069                     0.983    -3.20     9.00    0.974     1.25     0.59
2004dn      UGC02069                     0.777    -0.18     0.33    0.767     0.05     0.17
1976F       UGC02100                     0.449    -0.28     0.37    0.460     0.10     0.20
2001fw      UGC02116                     0.021     1.63     1.56    0.053     0.74     0.39
1937D       NGC1003                      0.287     0.09     0.21    0.326    -0.13     0.08
1990E       NGC1035                      0.388     0.72     0.05    0.369     0.57     0.02
2009M       NGC1028                      0.594    -0.72     0.38    0.596    -0.19     0.20
2010jc      NGC1033                      0.798     2.44     0.33    0.810     2.28     0.14
2005lq      A024136+0012                 1.000     5.97     9.28    0.000   -16.09   121.15
2005ft      A024204-0032                 0.335     6.24     2.84    0.549    10.90     5.14
2004fd      NGC1060                      0.131     1.19     0.27    0.084     1.21     0.11
2008ie      NGC1070                      0.283     1.23     0.46    0.381     1.52     0.24
1961V?      NGC1058                      0.727    -1.09     0.10    0.757    -0.24     0.07
1969L       NGC1058                      1.000    -2.97     9.00    1.000    -2.43     9.00
2007gr      NGC1058                      0.250    -0.89     0.04    0.276    -0.77     0.02
