# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
1963O       NGC5905                      0.539     1.98     0.96    0.592     3.05     0.78
1940A       NGC5907                      0.952     0.67     0.37    0.957     0.84     0.07
2007ba      UGC09798                     0.582     0.41     0.21    0.473     0.65     0.10
2002ec      NGC5910                      1.000    -1.73    55.44    0.988     1.80     1.17
1996ab      A152108+2755                 0.929     1.02     1.04    0.938    -0.26     0.24
2002cj      ESO582-005                   0.458    -0.56     0.27    0.481    -0.68     0.13
1990Q       NGC5917                      0.869    -1.05     0.04    0.848    -0.54     0.02
2001X       NGC5921                      0.221     2.25     0.19    0.241     2.33     0.09
2004ax      NGC5939                      0.066     0.75     0.46    0.096     0.49     0.13
2012as      UGC09842                     0.518     0.63     0.76    0.585     0.10     0.20
1971E       PGC091443                    0.829    -0.72     0.41    0.686    -0.17     0.19
1967I       PGC055175                    0.291     2.33     2.64    1.000     1.46     0.58
2013dh      NGC5936                      0.084    -0.45     0.18    0.100    -0.07     0.08
2003K       IC1129                       0.290     1.38     0.19    0.296     1.27     0.08
2012cs      IC1129                       0.520     0.66     0.18    0.531     0.68     0.08
2001cm      NGC5965                      1.000     1.17     0.85    1.000     4.96     2.04
2012bn      IC1133                       0.872     1.19     0.83    0.823     0.52     0.29
2004ci      NGC5980                      0.083     0.11     0.39    0.131     0.40     0.15
1950L       PGC094270                    0.115    -0.20     2.85    0.339    -2.66     9.01
2013bd      ESO583-005                   0.476     1.15     1.51    0.476     1.23     0.73
2001bs      UGC10018                     0.086    -0.29     0.10    0.105    -0.22     0.03
2011de      UGC10018                     1.000    -5.33     9.04    1.000    -6.67     9.53
2006be      IC4582                       0.023    -0.10     0.62    0.039     0.43     0.08
1998ct      UGC10062                     0.048     1.50     0.50    0.046     0.46     0.04
2009dc      UGC10064                     1.000     0.98     2.64    1.000    -2.82     9.00
2000cf      MCG+11-19-025                0.076     0.75     0.35    0.089     0.99     0.11
2008cg      PGC091487                    0.763    -0.66     0.24    0.734    -0.15     0.07
2004bu      UGC10089                     0.142     0.42     0.46    0.157     0.53     0.13
2004di      UGC10097                     1.000    -5.92     9.60    1.000    -1.85     9.00
1991M       IC1151                       0.974    -0.58     0.80    0.971     0.74     0.57
2014cv      UGC10123                     0.076    -0.30     0.61    0.160     0.77     0.21
2006ao      A155919+6513                 0.882    -2.36     9.00    0.810    -0.16     9.00
2000cg      UGC10121                     0.193    -0.06     0.24    0.227     0.21     0.11
2000cb      IC1158                       0.415     2.16     0.97    0.420     1.10     9.00
1999cc      NGC6038                      0.306     1.30     0.46    0.324     1.79     9.00
2008ev      UGC10155                     0.077    -0.02     0.18    0.084     0.02     0.09
1968K       PGC084703                    0.404     0.96     0.48    0.415     1.94     0.33
2003gp      UGC10160                     1.000     0.70     1.64    0.910     1.66     0.45
1982aa      NGC6052                      0.270     0.76     0.10    0.255     0.61     0.01
2000cp      PGC057064                    0.720     0.81     0.93    0.553     0.31     0.35
1997dd      NGC6060                      1.000    -1.14     1.74    1.000    -6.23    69.74
2007cu      UGC10214                     0.987    -6.14     0.86    1.000    -8.68     7.80
2008dq      UGC10214                     0.869    -2.04     0.05    1.000    -1.22     0.01
1999ac      NGC6063                      0.797     0.37     0.16    0.799     0.26     0.07
2006cc      UGC10244                     1.000     1.11     0.36    1.000     2.92     0.19
2001aj      UGC10243                     0.387     1.65     0.49    0.427     1.67     0.15
2008cl      UGC10261                     0.929     1.90     0.25    0.276     1.04     0.05
2003au      NGC6095                      0.444     0.66     0.46    0.190     0.88     0.22
2011dz      UGC10273                     0.147     1.29     0.11    0.154     1.19     0.03
2002ci      UGC10301                     0.487    -0.03     0.33    0.435    -0.10     0.14
2014ax      UGC10318                     0.055     1.49     0.74    0.062     1.44     0.32
2002de      NGC6104                      0.046     1.51     0.31    0.040     0.43     0.04
2011bn      UGC10306                     0.407     0.46     0.48    0.319     1.43     0.31
2011jg      UGC10331                     1.000    -6.89    11.37    1.000    -4.49     0.32
2003ia      NGC6109                      1.000    -0.09     0.85    0.628    -0.23     9.00
2010an      NGC6109                      0.686     5.06     4.25    0.348     1.32     9.00
2003ge      NGC6122                      0.474     2.23     0.95    0.441    -1.05     9.00
2000cq      UGC10354                     0.500     0.45     0.17    0.541     0.89     0.10
2003iy      NGC6143                      0.098     0.05     0.03    0.118     0.35     0.01
2009he      UGC10361                     1.000    -5.19     9.06    0.736    -3.62     9.01
2007bj      NGC6172                      0.280     1.14     0.83    0.250     0.88     0.22
1998cr      PGC057979                    0.670     1.36     0.59    0.590     1.31     0.27
2006R       NGC6142                      0.272     0.70     0.75    0.326     0.85     0.39
2009fl      NGC6146                      0.358     1.88     2.46    0.215     0.76     0.11
2009eu      NGC6166                      1.000    -2.20     9.00    0.084    -0.62     9.00
2002cg      UGC10415                     0.088     0.20     0.03    0.116     0.45     0.01
1966C       PGC058319                    0.698     1.43     0.47    0.654     1.88     0.11
2009fv      NGC6173                      1.000     1.78     0.13    0.040     1.26     0.02
1997cq      UGC10420                     0.000    -3.25     0.29    0.000    -1.27     0.10
1992ap      UGC10430                     0.491     0.24     0.03    0.511     0.46     0.01
1998cs      UGC10432                     0.309     0.26     0.10    0.265     0.50     0.03
2010gl      NGC6189                      0.245     0.09     0.29    0.293     0.19     0.13
1926B       NGC6181                      0.684    -0.39     0.21    0.733    -0.07     0.09
2011gd      NGC6186                      0.070     1.99     0.28    0.070     1.37     0.09
2001dq      IC1222                       0.366    -0.18     0.07    0.387    -0.07     0.03
1975K       NGC6195                      0.060     0.43     0.66    0.100     0.40     0.05
2010bq      UGC10547                     0.489     0.29     0.37    0.515     1.57     0.27
2007ac      UGC10550                     0.798    -1.31     0.18    0.832    -0.99     0.08
2007is      UGC10553                     0.070     0.29     0.14    0.094     0.71     0.05
2008bu      ESO586-002                   1.000    -2.81     1.06    1.000    -4.31     3.14
1994Q       PGC059076                    0.135     1.31     0.13    0.140     1.24     0.05
2009kp      NGC6246                      0.539     0.57     0.29    0.572     0.60     0.13
2011aj      NGC6246A                     0.002     5.28     9.00    0.002     5.91     9.00
2003cm      UGC10590                     0.466    -0.16     0.15    0.468    -0.08     0.07
2000bg      NGC6240                      0.215    -0.93     0.04    0.246    -0.40     0.01
2010gp      NGC6240                      0.822     0.59     0.22    0.837     2.21     0.11
2013dc      NGC6240                      0.433     0.04     0.07    0.468     0.63     0.02
1998cx      NGC6209                      0.023    -0.49     0.40    1.000    -0.08     0.19
2009fz      NGC6209                      0.340    -2.24     9.00    1.000    -1.34     9.00
2007hu      NGC6261                      0.000     0.87     0.99    1.000     1.01     0.34
2008dt      NGC6261                      0.000     0.95     1.52    1.000     1.12     0.43
2005ep      UGC10626                     0.294     0.46     0.28    0.345     0.76     0.13
2008ew      IC1236                       0.204     0.48     0.53    0.209     0.41     0.21
2007ae      UGC10704                     0.651    -0.34     0.43    0.651    -0.01     0.22
2010ag      UGC10679                     0.261     0.47     0.67    0.244     0.03     0.26
2002ej      NGC6324                      0.721     0.06     0.20    0.647     0.20     0.09
2000bs      UGC10710                     0.950     2.45     3.33    1.000    -0.13     0.39
2004ec      UGC10717                     0.017     1.18     0.98    0.030     1.34     0.30
2008az      UGC10721                     0.050     0.24     0.21    0.057     0.29     0.09
2010ed      UGC10728                     0.370     0.21     1.35    0.339    -0.33     0.10
2005bp      UGC10732                     0.455     0.32     0.41    0.463     0.14     0.17
2001cp      UGC10738                     1.000     1.99     2.34    1.000   -12.30    12.30
2002er      UGC10743                     1.000    -0.91     1.74    0.935    -2.78     0.54
2006mp      MCG+08-31-029                1.000    -1.00     0.29    0.882    -0.56     0.16
2008fj      UGC10759                     1.000    -2.51     9.02    1.000    -0.89     9.00
2013bs      NGC6343                      1.000    -2.40     2.41    1.000    -7.36    10.18
2010je      NGC6350                      1.000    -6.81     9.14    1.000    -4.75     9.01
2010gi      IC4660                       0.507    -0.35     0.14    0.436    -0.17     0.08
2003U       NGC6365A                     0.284     2.79     0.27    0.340     2.46     0.08
2001ad      NGC6373                      0.989    -1.63     0.05    0.986    -1.06     0.03
2012an      NGC6373                      0.703     0.98     0.04    0.699     1.18     0.02
2007ad      UGC10845                     0.170     1.30     0.30    0.235     0.90     0.10
1991af      PGC060308                    0.417     0.68     0.48    0.458     1.66     0.24
2004ao      UGC10862                     0.168    -0.28     0.37    0.191    -0.21     0.13
2001aa      UGC10888                     0.868     0.71     0.13    0.863     0.33     0.05
2006ap      NGC6378                      0.940     1.17     0.91    1.000     2.50     0.58
1971L       NGC6384                      0.048     0.60     0.14    0.073     0.85     0.05
1992ab      NGC6389                      0.901    -0.74     0.22    0.919    -0.57     0.10
2000M       NGC6389                      0.067     0.24     0.09    0.094     0.52     0.04
1999da      NGC6411                      0.305    -4.59    10.09    1.000    -3.96     9.15
2008an      UGC10936                     0.102    -0.90     0.35    0.170     0.07     0.19
2003hp      UGC10942                     0.569    -0.36     0.51    0.614     0.58     0.26
2003fa      MCG+07-36-033                1.000    -2.41     1.62    1.000    -5.71     9.07
2005ao      NGC6462                      0.830     1.36     0.76    0.843     1.20     0.29
1992aa      NGC6464                      0.002    -0.71     0.39    0.005     0.87     0.15
2012db      ESO139-028                   0.636    -4.62     9.03    0.814    -3.45     9.01
2004cs      UGC11001                     0.433    -0.61     0.26    1.000    -0.00     0.15
2002by      ESO139-034                   1.000    -2.80     9.00    1.000    -1.45     9.00
2011ft      UGC11021                     1.000   -10.19     8.86    1.000     9.87     9.56
2005B       UGC11066                     0.405     0.65     0.46    0.352     1.05     0.29
2009hs      NGC6521                     -9.000   -42.75     9.00   -9.000   -18.37     9.00
2006au      UGC11057                     0.922    -0.79     0.46    1.000    -0.69     0.20
2013cn      UGC11076                     0.926     1.63     0.75    0.890     0.19     0.18
2010hh      NGC6524                      0.830    -4.46     9.02    0.949    -3.59     9.00
2006dq      UGC11089                     0.306    -0.34     0.12    0.353     0.00     0.04
2004fv      NGC6492                      0.106     1.69     0.50    0.205     1.17     0.17
2014cm      ESO229-008                   0.348    -0.84     0.57    0.610     0.17     0.26
2006gz      IC1277                       0.744     0.19     0.50    0.706     0.23     0.24
2011ap      IC1277                       0.618     0.41     0.52    0.601     0.26     0.21
1998dx      UGC11149                     1.000    -7.20    10.59    0.596    -5.32     9.13
2003hs      UGC11149                     1.000    -7.06    10.64    0.548    -4.67     9.06
2008eb      NGC6574                      0.487     0.51     0.41    0.540     1.36     0.02
2010hi      NGC6621                      0.794    -1.29     0.78    0.859    -0.93     0.30
2005bz      UGC11162                     0.116     0.17     0.28    0.128     0.53     0.13
2006ci      ESO182-010                   0.403     0.10     0.30    0.402     0.07     0.15
2000dm      UGC11198                     0.390     0.06     0.76    0.329     0.95     0.35
1989P       NGC6636                      0.903     1.38     0.51    0.904     1.65     0.26
2006ca      UGC11214                     1.000     0.38     1.00    1.000    -0.03     0.32
2011bq      IC1288                       0.365    -0.20     0.43    0.315     0.94     0.31
2001br      UGC11260                     0.016     1.23     1.90    0.011     2.25     1.46
2014F       NGC6667                      0.856    -2.68     0.43    0.885    -1.86     0.26
1934A       IC4719                       0.317     0.68     0.28    0.317     1.14     0.15
2010iy      ESO281-014                   0.046     0.73     0.49    0.078     1.33     0.20
2005da      UGC11301                     1.000   354.96   293.01    1.000   -21.84   311.15
2013en      UGC11369                     0.781    -0.43     1.11    0.891    -0.25     0.34
2002dw      UGC11376                     0.531     0.25     0.14    0.505     0.40     0.06
2008fa      NGC6722                      0.807    -3.62     9.01    0.767    -2.59     9.00
2005at      NGC6744                      0.083    -0.14     0.04    0.105     0.31     0.02
2004ed      NGC6786                      0.616     0.15     0.17    0.617     0.25     0.07
2000cj      NGC6753                      0.593     1.73     0.51    0.675     1.47     0.19
2005cb      NGC6753                      0.331     0.56     0.16    0.407     1.22     0.08
1998X       NGC6754                      1.000    -1.78     0.25    1.000    -2.19     0.11
1998dq      NGC6754                      0.887    -1.10     0.20    1.000    -0.54     0.11
2000do      NGC6754                      0.120     0.03     0.29    0.228     0.48     0.14
2005cu      NGC6754                      0.402    -1.12     0.16    0.729    -0.56     0.09
2003hu      A191131+7753                 0.305     0.81     0.16    0.328     1.18     0.07
2012dl      ESO459-006                   0.147     0.39     0.38    0.310     0.96     0.19
1992N       IC4831                       0.810    -0.84     0.15    0.813    -0.58     0.04
1998em      IC4837A                      0.797    -3.58     9.01    0.825     1.10     0.54
2005aw      IC4837A                      0.152    -0.59     0.33    0.576     1.49     0.16
1984O       IC4839                       0.958    -4.38     9.01    0.963    -3.29     9.00
2011ed      IC4839                       0.002    -0.04     0.92    0.004     1.41     0.37
2010ds      IC4840                       0.108     0.56     0.23    0.094     0.61     0.10
2009id      ESO282-032                   0.823    -3.50     9.01    0.683    -0.06     0.32
1997de      NGC6769                      0.387     2.45     0.13    0.422     2.61     0.04
2006ox      NGC6769                      0.034     0.18     0.07    0.062     0.65     0.02
2004ev      ESO459-013                   0.479    -2.98     9.01    0.457    -2.20     9.01
2000cu      ESO525-004                   0.143    -0.45     0.47    0.360     0.62     0.31
2001dx      PGC063222                    0.003     1.37     0.74    0.003     0.63     0.29
2010dc      IC4854                       0.811    -0.06     0.63    0.799    -0.24     0.26
2011df      NGC6801                      1.000    -6.37    10.02    1.000    -7.42    14.79
2004cw      ESO184-075                   0.254    -0.34     0.22    0.265    -0.20     0.11
1998bw      ESO184-082                   0.002     1.20     0.26    0.013     1.41     0.13
2008fl      NGC6805                      0.000    -5.29     9.32    1.000    -3.51     9.02
2014cr      NGC6806                      0.376     0.11     0.20    0.437     0.18     0.09
2005dk      IC4882                       0.584     1.40     0.45    0.579     0.97     0.17
2013cz      IC4892                       0.405     0.73     0.68    0.388     0.75     0.28
2003kh      UGC11491                     0.625    -0.57     0.44    0.655    -0.09     0.25
1962J       NGC6835                      0.886    -3.83     9.01    0.890    -1.93     9.00
2010hc      ESO339-006                   0.030     0.22     0.52    0.045     2.18     0.52
1998bo      ESO185-031                   0.202     1.22     0.53    1.000     1.70     0.29
2009it      NGC6841                      1.000     2.63     0.71    1.000     2.12     0.42
2011dn      UGC11501                     0.301     1.34     0.80    0.466     1.78     0.31
1990T       PGC063925                    0.714    -1.49     0.93    1.000    -4.35     9.04
1991ag      IC4919                       0.822     0.19     0.14    0.793     0.53     0.05
2006bn      IC4926                       0.223    -2.26     3.43    1.000    -5.92     9.49
2006eu      MCG+08-36-016                0.099    -4.28     9.10   -9.000    -2.76     9.02
2012fz      ESO185-054                   0.659     1.72     0.85    0.606    -0.07     9.00
1984K       NGC6850                      1.000    -5.35     9.17    1.000    -3.01     9.00
2010co      NGC6862                      0.061     0.04     0.13    0.081     0.24     0.03
2005dn      NGC6861F                     0.626    -0.48     0.05    0.586    -0.11     0.01
2003fb      UGC11522                     0.876     1.55     1.02    0.905     1.02     0.38
2002jn      UGC11523                     0.421     2.99     0.97    0.490     0.03     9.00
1987I       IC4963                       0.024    -1.73     9.02    0.031     0.74     0.20
2008ff      ESO284-032                   0.966    -1.36     1.47    1.000     1.84     1.39
2004fb      ESO340-007                   0.101    -0.10     0.25    0.106     0.26     0.09
2005iu      A202015+0013                 0.073    -7.19    15.58    0.446     8.58     9.11
2000dc      ESO527-019                   0.428     2.48     0.84    0.424     1.18     0.14
2004da      NGC6901                      0.129     1.52     0.53    0.108     1.21     0.16
1976O?      ESO234-016                   0.552     0.22     0.36    0.541     0.45     0.19
2010gw      IC4992                       1.000    -4.67     1.18    1.000    -4.88     0.84
2002cd      NGC6916                      0.165     0.31     1.56    0.143    -0.46     0.60
2012dn      ESO462-016                   0.853    -1.16     0.17    0.976    -0.79     0.11
2012bl      ESO234-019                   0.786    -0.35     0.35    1.000     0.13     0.37
2004bv      NGC6907                      0.189     1.37     0.11    0.231     1.59     0.05
2008fq      NGC6907                      0.041     1.27     0.08    0.060     1.57     0.03
2009jr      IC1320                       0.097     0.43     0.28    0.114     0.47     0.12
2005hp      A202852-0046                 0.040     3.47     9.00    0.292     5.29    11.15
2010il      NGC6922                      0.063     0.71     0.18    0.079     0.69     0.08
1992af      ESO340-038                   0.289     0.52     0.29    0.302     0.86     0.16
2006bo      UGC11578                     0.209     4.04     2.20    0.249     2.73     0.45
2001dd      UGC11579                     1.000    -5.91     9.75    1.000    -1.25     1.62
2005iv      A203144+0014                 0.206    -2.74     9.10    1.000     1.92     9.01
2007pm      UGC11585                     0.712     0.28     0.42    0.848     0.84     0.26
2009fw      ESO597-006                   0.030     6.76     9.64    1.000     1.68     0.41
2004eo      NGC6928                      1.000    -0.49     1.91    1.000    -6.35    10.70
2003gt      NGC6930                      0.360     0.65     0.64    0.332     3.23     0.91
2011ei      NGC6925                      0.763    -0.36     0.11    0.787    -0.29     0.05
1917A       NGC6946                      0.147     2.27     0.61    0.158     1.39     0.10
1939C       NGC6946                      0.509    -1.26     9.00    0.480     2.08     0.17
1948B       NGC6946                      0.562    -1.98     0.11    0.523    -1.60     0.03
1968D       NGC6946                      0.018    -1.75     9.00    0.023     1.74     0.14
1969P       NGC6946                      0.384     2.73     0.78    0.371     2.20     0.16
1980K       NGC6946                      0.760    -2.66     9.00    0.696    -1.03     9.00
2002hh      NGC6946                      0.196    -0.81     0.15    0.204    -0.71     0.04
2004et      NGC6946                      0.000     1.04     0.61    0.000     3.42     0.15
2008S?      NGC6946                      0.463    -1.20     9.00    0.441     1.96     0.16
2004fu      NGC6949                      0.816    -3.56     9.00    0.816     1.12     0.60
2004cr      UGC11603                     1.000   -32.77    95.76    1.000   -70.64   130.99
1999el      NGC6951                      0.118     0.05     0.52    0.168     1.67     0.29
2000E       NGC6951                      0.121     0.48     0.61    0.171     1.13     0.23
2006ms      NGC6935                      0.131     0.12     0.41    0.186    -0.30     0.11
2005jw      A204019-0000                 0.107     3.25     1.61   -9.000    -9.00    12.56
1991au      UGC11616                     0.146    -5.02     9.22    0.191    -2.82     9.01
2005ix      A204155+0105                -9.000    -6.39     9.74   -9.000    -0.83     9.00
2006it      NGC6956                      0.486     0.12     0.19    0.519     0.73     0.11
2013fa      NGC6956                      0.001    -2.85     0.26    0.003    -2.10     0.09
2004bq      ESO597-032                   0.258     2.18     0.74    0.130     3.24     0.46
1998ew      NGC6943                      0.870     4.03     0.93    0.899     0.24     9.00
2005av      NGC6943                      0.066    -0.42     0.05    0.097    -0.44     0.02
2012ee      IC5050                       0.010     1.88     9.00    0.014     2.76     9.00
2002ha      NGC6962                      0.149    -1.32     0.16    0.180    -0.87     0.05
2003dt      NGC6962                      0.218    -1.11     0.13    0.263    -0.56     0.05
2005fm      A204810-0110                 0.441     7.26     1.24    0.290     6.08     0.22
2005fn      A204853+0011                 0.751     9.43     3.13    0.551     8.13     0.67
2005hq      A205019-0049                -9.000    -8.87    42.57    0.000    -3.63     9.05
2005gh      A205036-0021                 0.118     5.65     0.65    0.102     5.47     0.12
2010gt      ESO187-021                   1.000     0.84     0.60    0.326     1.62     0.19
2002el      NGC6986                      0.194    -4.86     9.76    1.000    -3.82     9.02
2005jj      A205644+0024                 0.001     1.76     9.25    0.001    -2.09     9.00
2013fn      IC1342                       1.000    -5.11     9.03    1.000    -4.53    11.24
2010cq      PGC187888                    0.746     0.99     0.74    1.000     3.44     1.17
2012fw      ESO235-037                   0.144    -0.03     0.30    0.178     0.74     0.17
2008cc      ESO107-004                   0.000     0.42     1.09    0.050     1.21     0.22
2008cv      ESO598-022                   0.579     0.61     1.46    0.260     1.19     0.26
2003ho      ESO235-058                   0.277    -1.28     0.33    0.298    -0.18     0.24
2003gj      NGC7017                      1.000    -0.09     1.40    0.988     1.25     1.08
2001fc      UGC11683                     0.001     0.23     1.17    0.001     1.50     0.56
2004du      UGC11683                     0.060     0.63     0.60    0.051     0.72     0.31
2005br      IC5084                       1.000    -0.58     0.33    1.000    -0.40     0.13
2005fj      A211120-0026                 0.379     7.59     9.18    0.262     7.97     9.01
2004dy      IC5090                       0.854     0.33     0.43    0.850     0.28     0.16
2013fw      NGC7042                      0.129     1.20     9.00    0.122     1.94     9.00
2012ig      UGC11706                     0.212     0.01     0.74    0.149     0.41     0.39
1983L       NGC7038                      0.142    -0.12     0.10    0.186     0.28     0.05
2010dx      NGC7038                      0.222    -0.25     0.09    0.276     0.01     0.04
2005kn      A211532-0021                 1.000    -4.14     9.38    1.000     4.43    11.83
1989Y       ESO287-004                   0.894    -1.12     0.20    0.888    -1.01     0.10
2012dy      ESO145-004                   0.739     0.59     0.54    0.739     0.64     0.27
2002dq      NGC7051                      0.747     0.54     0.42    0.770     2.65     0.55
2000ej      IC1371                       0.042     4.09     0.84    1.000     4.07     0.34
2006cm      UGC11723                     0.040     0.08     0.13    0.036     0.12     0.06
2001dl      UGC11725                     0.578    -0.18     0.35    0.544     0.98     0.26
2003ep      NGC7053                      0.001    -1.12     0.55    0.001    -0.29     0.19
2005fc      A212139+0053                 0.163     4.79     0.72    0.081     4.72     0.35
2006oa      A212342-0050                 0.090     3.73     0.13    0.072     3.64     0.09
2005iy      A212451+0023                 0.001    -4.52    10.33   -9.000    -6.46     9.20
SDSS1688    A212525+0019                 0.053    -0.09     9.02    0.895    14.44    12.98
1992ae      A212817-6133                 0.859     2.23     9.00    0.549     2.45     9.00
2006eq      A212837+0113                 0.460     1.37     0.29    0.447     1.66     0.13
1998ey      NGC7080                      0.585    -0.06     0.06    0.597     0.51     0.03
2006ev      UGC11758                     0.686     1.33     0.74    0.623     0.37     0.22
2005ik      A213115-0103                 0.000    -6.49     9.91    0.075     3.18     9.05
2005jl      A213256-0041                 0.124     4.65     0.11    0.282     5.50     0.08
2005jx      A213420-0040                 0.099     5.10     0.20    0.048     4.62     0.05
1990af      A213458-6244                 1.000    -4.04     9.03    0.568    -1.52     9.00
2005fd      A213511+0009                 0.427     7.60     0.77    0.321     6.80     0.13
2009hm      NGC7083                      0.024    -0.11     0.06    0.039     0.27     0.01
2013fy      ESO287-040                   0.317     0.39     0.42    0.337     0.74     0.23
2005ld      A214000-0000                 0.191     5.91     9.00    0.186     6.12     9.00
2005dc      NGC7107                      0.797    -2.89     0.09    0.789    -1.70     0.06
2004by      NGC7116                      0.675     2.20     0.74    0.563     1.31     0.21
1998co      NGC7131                      0.551    -0.03     0.45    0.276     0.50     0.22
2010bt      NGC7130                      0.807    -0.37     0.05    0.774     0.01     0.02
2004ey      UGC11816                     0.167    -0.69     0.09    0.199    -0.49     0.04
2010hj      ESO145-016                   0.214     2.12     0.92    0.266     1.89     0.21
2012du      NGC7125                      0.020     0.40     0.04    0.023     0.76     0.02
2014cu      PGC252921                    1.000    -1.39     0.66    0.881    -1.14     0.22
2005ic      A215108-0050                 0.178     5.51     0.69    0.153     5.15     0.36
2005iz      A215216+0016                 0.881    12.42    99.21    0.000    -6.32    10.58
2005jm      A215218+0028                 1.000     1.89     1.10    1.000     1.65    22.53
2002dn      IC5145                       0.369     0.99     0.66    0.335     1.28     0.28
2003hy      IC5145                       0.166    -0.01     0.41    0.159     0.43     0.18
2010iq      IC5145                       0.025     0.23     0.55    0.026     0.62     0.22
2005hu      A215440+0024                 0.154     5.79     0.40    0.342     7.19     0.39
2005cm      IC5142                       0.720     0.47     0.37    1.000     0.49     0.18
2005fo      A215546+0035                 0.649     8.34     4.15    1.000     4.18     0.68
2005lh      A215548+0110                 0.064     4.61     0.30    0.150     5.68     0.32
2006on      A215558-0104                -9.000    -7.02    12.53    1.000     2.02     9.12
2005ei      A215647+0019                 1.000     3.48     2.28    0.387     5.06     9.39
2005hn      A215704-0013                 0.253     5.16     0.41    0.506     7.27     0.86
2004eq      ESO404-012                   0.481     0.94     0.35    0.513     1.00     0.17
2008fd      ESO466-024                   0.934    -0.39     0.72    0.673    -0.52     0.26
2005lk      A215949-0111                 0.001     1.49     0.89    0.002     2.42     0.48
1960L       NGC7177                      0.945    -1.68     0.44    0.940    -0.68     0.33
1976E       NGC7177                      0.232    -0.65     0.18    0.274    -0.28     0.09
2007fs      ESO601-005                   0.289     2.18     0.88    0.366     2.26     0.40
2013gh      NGC7183                      0.011     3.63     1.51    0.007    -0.21     9.00
2008ct      UGC11878                     0.940    -0.46     0.69    0.920     0.13     0.31
1984N       NGC7184                      0.914    -1.16     0.28    0.934    -0.77     0.14
2011kh      NGC7189                      0.641    -0.15     0.08    0.679    -0.06     0.04
2003kg      IC1427                       0.551    -3.76     9.01    0.479     1.15     0.65
2013ga      UGC11895                     0.188     0.23     0.44    0.258     0.97     0.25
2001fy      UGC11922                     0.024     0.52     0.61    0.187     0.91     0.22
2012gi      UGC11922                     0.936     1.12     2.23    1.000    -3.07     9.00
2001cy      UGC11927                     0.056    -0.27     0.58    0.066     1.45     0.39
1998cv      ESO237-042                   0.575     0.49     0.20    0.609     0.65     0.11
2009dt      IC5169                       0.363    -0.05     0.35    0.926    -0.59     0.13
1987J       ESO601-026                   0.709     0.64     0.41    0.513     1.24     0.27
2008dr      NGC7222                      0.058     0.36     0.76    0.127     0.64     0.08
2005hv      A221243-0002                 0.479     7.12     0.50    0.341     6.30     0.08
2005gs      A221310+0103                 1.000     6.61    15.84    0.535    11.61     9.07
2000dw      UGC11955                     0.019     0.03     0.38    0.022     0.42     0.19
2005ka      A221355+0105                 0.096    -5.52    11.63   -9.000   -25.03     9.00
2007cn      UGC11953                     0.033     0.27     0.10    0.055     0.78     0.04
2001fd      UGC11957                     0.493     0.54     0.29    0.494     1.33     0.20
2007cq      A221440+0504                 0.263     2.00     0.46    0.219     0.97     0.15
2001ib      NGC7242                      0.068    -3.86     9.16    0.156    -1.30     9.00
1999ee      IC5179                       0.222     0.66     0.17    0.254     0.43     0.06
1999ex      IC5179                       0.000    -0.62     0.36    0.000     0.66     0.11
2005gf      A221616+0042                 1.000     5.10     1.63    0.104     3.74     9.00
2005cw      IC1439                       0.711     0.39     0.68    0.795    -0.46     0.20
2011fs      UGC11975                     0.893    -4.13     9.01    0.953    -2.18     9.00
2013dy      NGC7250                      0.858     0.67     0.05    0.823     0.96     0.03
2005gg      A221841+0038                 0.275     5.24     0.60    1.000     7.39     3.71
2005fe      A221927+0029                 0.501     7.70     0.73    0.204     5.83     0.09
2002jg      NGC7253B                     0.942    -4.05     0.74    0.976    -2.80     0.20
2002dl      UGC11994                     0.169    -0.47     0.54    0.176     0.66     0.32
1978G       IC5201                       0.362    -0.58     9.00    0.410     0.22     9.00
1970H       UGC12005                     0.427    -0.69     0.42    0.466     0.29     0.21
2009ip      NGC7259                      0.953    -0.13     0.59    0.961    -0.62     0.21
2014dq      ESO467-051                   1.000    -5.13     3.98    1.000    -1.71     2.68
2013hq      NGC7276                      0.947    -6.55    15.59    0.646    -2.76     9.00
2002hz      UGC12044                     0.089     3.24     6.02    0.198    -0.23     9.00
2005ll      A222806-0107                 0.168     4.58     0.33    1.000     4.15     0.69
1964H       NGC7292                      0.594     0.25     0.13    0.575     0.95     0.08
2000el      NGC7290                      0.000    -0.96     0.43    0.000    -0.19     0.15
2005ig      A223031-0030                 1.000     0.19    12.04    0.000    -8.18    38.22
2005ff      A223041-0046                 0.144     3.05     0.48    0.028     0.30     9.00
2010gg      ESO602-025                   0.072    -1.34     0.36    0.113    -0.36     0.11
2005le      A223132-0029                 0.917    13.60    58.38    0.537     7.89     2.32
2014ci      PGC166758                   -9.000     0.07     8.41    0.074    -0.57    14.20
2005kc      NGC7311                      0.249     0.64     0.41    0.255     0.87     0.18
2007B       NGC7315                      1.000    -0.94     9.12    0.214     1.34     9.00
2006cx      NGC7316                      0.111     1.34     0.10    0.115     1.02     0.03
1971P       NGC7319                      0.020    -0.54     9.00    0.022     0.29     9.00
SDSS6696    A223619+0028                 0.194     5.44     0.93    0.634     5.65    17.76
2008gj      NGC7321                      0.702     0.54     0.75    0.758     0.19     0.16
