# Hicken et al. 2009
# Tables 3 and 4: MLCS2K2 Light Curve Fits
#
#SN Ia     Delta    Deltae   A(V)     A(V)e    (B-V)    (B-V)e   mB       mBe      mV       mVe      E(B-V)   E(B-V)e  zCMB     mU       mUe     (U-B)     (U-B)e   E(U-B)   E(U-B)e  Dm15U    Dm15Ue   Dm15B    Dm15Be   Dm15V    Dm15Ve   DtU      DtB      DtV
1999gp    -0.4150   0.0350   0.1490   0.0440  -0.0000   0.0500  15.9900   0.0500  15.9700   0.0300   0.0876   0.0259   0.0260  15.4000   0.0600  -0.5400   0.0700   0.0622   0.0184   1.0500   0.0800   0.8000   0.0700   0.5500   0.0400   1.8600   2.8500   0.9100
2000E     -0.2270   0.0630   0.4660   0.1220   0.1700   0.2400  12.8600   0.2400  12.6800   0.1900   0.2741   0.0718   0.0042 -99.9900  -9.9900 -99.9900  -9.9900   0.1946   0.0510 -99.9900  -9.9900   0.9400   0.2500   0.6600   0.1900 -99.9900   4.9600   3.9400
2000cf    -0.0050   0.0790   0.0860   0.0550  -0.0500   0.0400  17.0800   0.0300  17.1100   0.0300   0.0506   0.0324   0.0365 -99.9900  -9.9900 -99.9900  -9.9900   0.0359   0.0230 -99.9900  -9.9900   1.4700   0.0500   0.7700   0.0400 -99.9900   1.1300   1.1300
2000cn     0.7240   0.0840   0.0710   0.0600   0.1000   0.0600  16.5700   0.0500  16.4000   0.0300   0.0418   0.0353   0.0232  16.4000   0.0900  -0.1600   0.1000   0.0297   0.0251 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   5.9500   5.9500   0.9200
2000dk     0.5110   0.0660   0.0170   0.0150  -0.0200   0.0600  15.3400   0.0500  15.3300   0.0400   0.0100   0.0088   0.0164  14.9900   0.0700  -0.2900   0.0700   0.0071   0.0062   1.8600   0.0800 -99.9900  -9.9900 -99.9900  -9.9900   0.9100   1.8400   4.9100
2001ba    -0.1640   0.0580   0.0250   0.0210  -0.1500   0.0600  16.1800   0.0500  16.3100   0.0500   0.0147   0.0124   0.0305 -99.9900  -9.9900 -99.9900  -9.9900   0.0104   0.0088 -99.9900  -9.9900   0.9500   0.0500   0.5900   0.0700 -99.9900   0.9800   2.9000
2001bt     0.0410   0.0690   0.4260   0.0630   0.1400   0.0500  15.2600   0.0500  15.0900   0.0400   0.2506   0.0371   0.0144 -99.9900  -9.9900 -99.9900  -9.9900   0.1779   0.0263 -99.9900  -9.9900   1.2600   0.0700   0.7000   0.0600 -99.9900   2.8300   3.0100
2001cz    -0.1240   0.0610   0.2000   0.0700   0.0900   0.0700  15.0500   0.0600  14.9500   0.0500   0.1176   0.0412   0.0163 -99.9900  -9.9900 -99.9900  -9.9900   0.0835   0.0293 -99.9900  -9.9900   0.9300   0.0800   0.6200   0.0600 -99.9900   2.8900   1.9700
2001el    -0.1150   0.0530   0.5000   0.0440   0.0300   0.0300  12.7500   0.0300  12.7000   0.0100   0.2941   0.0259   0.0037  12.5600   0.0400  -0.1600   0.0500   0.2088   0.0184   1.5500   0.0700   1.1500   0.0700   0.6300   0.0200   4.0300   4.0200   1.0200
2001ep     0.0460   0.0810   0.2590   0.0540   0.0300   0.0500  14.8700   0.0400  14.8100   0.0300   0.1524   0.0318   0.0129  14.5200   0.0400  -0.3100   0.0500   0.1082   0.0226 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   0.8400   3.9700   3.9800
2001fe    -0.1690   0.0670   0.0990   0.0490   0.0200   0.0500  14.6800   0.0400  14.6500   0.0300   0.0582   0.0288   0.0143  14.0200   0.1000  -0.6000   0.0900   0.0413   0.0204 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   6.8800   5.8800   4.0300
2001fh     0.6320   0.1240   0.0770   0.0620  -0.1500   0.5000  14.1900   0.5000  14.3100   0.3800   0.0453   0.0365   0.0114  13.8700   0.5900  -0.2500   0.5900   0.0322   0.0259 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   0.9700   3.0100   2.9300
2001V     -0.3300   0.0430   0.1710   0.0410  -0.0000   0.1000  14.6400   0.0800  14.6100   0.0500   0.1006   0.0241   0.0162  14.0100   0.0900  -0.6000   0.1200   0.0714   0.0171   1.0100   0.1800   0.6500   0.1500   0.5300   0.1300   8.7000   7.7400   7.7400
2002bo    -0.1060   0.0640   0.9080   0.0500   0.3400   0.1100  13.9400   0.0800  13.5900   0.0700   0.5341   0.0294   0.0054 -99.9900  -9.9900 -99.9900  -9.9900   0.3792   0.0209 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900 -99.9900 -99.9900
2002cd    -0.3210   0.0560   1.0260   0.1320   0.5700   0.2800  15.5300   0.2700  14.9300   0.2200   0.6035   0.0776   0.0097  15.5700   0.3200   0.0600   0.3100   0.4285   0.0551   1.0600   0.3300   0.9800   0.2700 -99.9900  -9.9900   3.9500   3.9600 -99.9900
2002cr     0.0090   0.0830   0.1220   0.0630  -0.0700   0.0500  14.1600   0.0400  14.2300   0.0400   0.0718   0.0371   0.0103 -99.9900  -9.9900 -99.9900  -9.9900   0.0510   0.0263 -99.9900  -9.9900   1.2600   0.1100   0.6600   0.1100 -99.9900   6.8300   6.8200
2002cx    -0.5320   0.0580   0.7030   0.0680   0.1700   0.1300  17.5400   0.1000  17.3400   0.0800   0.4135   0.0400   0.0250 -99.9900  -9.9900 -99.9900  -9.9900   0.2936   0.0284 -99.9900  -9.9900   1.3200   0.1400   0.7900   0.1300 -99.9900   5.8600   6.8700
2002de    -0.2240   0.1430   0.3820   0.0840   0.1300   0.0400  16.6600   0.0300  16.5200   0.0200   0.2247   0.0494   0.0281  16.3200   0.0600  -0.3100   0.0600   0.1595   0.0351 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   2.0000   2.9400   2.9400
2002dj    -0.2000   0.1200   0.3420   0.0780   0.1000   0.0800  13.9800   0.0700  13.8300   0.0600   0.2012   0.0459   0.0104 -99.9900  -9.9900 -99.9900  -9.9900   0.1429   0.0326 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900   1.9600   7.9400
2002dp     0.0230   0.1350   0.2680   0.0900   0.1000   0.0700  14.6000   0.0500  14.4700   0.0500   0.1576   0.0529   0.0105  14.1600   0.0600  -0.3900   0.0700   0.1119   0.0376 -99.9900  -9.9900   1.1200   0.0600 -99.9900  -9.9900   1.9700   1.9700   6.8600
2002er     0.2700   0.0780   0.2270   0.0740   0.1200   0.1100  14.2400   0.1100  14.1000   0.0900   0.1335   0.0435   0.0085  13.9100   0.1300  -0.3300   0.1300   0.0948   0.0309   1.8700   0.1300   1.2800   0.1200   0.7300   0.1000   0.9900   1.0300   1.9400
2002fk    -0.0620   0.0560   0.0340   0.0230  -0.1200   0.0600  13.1100   0.0500  13.2300   0.0400   0.0200   0.0135   0.0070 -99.9900  -9.9900 -99.9900  -9.9900   0.0142   0.0096 -99.9900  -9.9900 -99.9900  -9.9900   0.6500   0.1000 -99.9900   6.9800   6.0200
2002ha     0.1270   0.0790   0.0420   0.0320  -0.0900   0.0900  14.6900   0.0800  14.7700   0.0700   0.0247   0.0188   0.0134 -99.9900  -9.9900 -99.9900  -9.9900   0.0175   0.0133 -99.9900  -9.9900   1.3400   0.1500   0.7800   0.1500 -99.9900   8.8400   8.8400
2002hu    -0.2460   0.0550   0.0360   0.0300  -0.1200   0.0500  16.5800   0.0400  16.7000   0.0300   0.0212   0.0176   0.0382  16.0800   0.0500  -0.4800   0.0600   0.0151   0.0125   1.3200   0.0900   1.0400   0.0700   0.5300   0.0700   3.8400   3.8500   3.8400
2003W     -0.0710   0.0590   0.3300   0.0500   0.1200   0.0600  15.8500   0.0400  15.7100   0.0500   0.1941   0.0294   0.0211  15.6000   0.0800  -0.1500   0.0800   0.1378   0.0209   1.3500   0.1000   1.1600   0.0400   0.7100   0.1400   1.0400   0.9400   8.9000
2003cg     0.0230   0.0740   2.2090   0.0530   1.2300   0.0500  15.7900   0.0500  14.5600   0.0200   1.2994   0.0312   0.0053  16.3800   0.0500   0.6600   0.0600   0.9226   0.0222 -99.9900  -9.9900 -99.9900  -9.9900   0.6800   0.0500   3.0800   5.9100   2.8400
2003du    -0.1680   0.0450   0.0320   0.0220  -0.1200   0.0700  13.4300   0.0600  13.5400   0.0200   0.0188   0.0129   0.0066  13.0700   0.1600  -0.3500   0.1900   0.0133   0.0092 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900   6.9400   2.8600   2.8600
2003iv     0.2780   0.1060   0.0230   0.0240  -0.1000   0.1000  16.9700   0.0900  17.0100   0.0800   0.0135   0.0141   0.0335  16.5700   0.1500  -0.3700   0.1500   0.0096   0.0100 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900  -9.9900 -99.9900   1.9700   4.8000
2003kf    -0.1710   0.0550   0.1140   0.0800   0.0200   0.2100  13.2800   0.2100  13.2500   0.1600   0.0671   0.0471   0.0077  12.9300   0.2500  -0.2700   0.2500   0.0476   0.0334   0.9400   0.2800   0.9700   0.2300   0.7000   0.1900   9.0200   6.1000   6.1100
2004as    -0.1840   0.0700   0.3030   0.0580   0.0100   0.1500  16.9300   0.1500  16.9100   0.0300   0.1782   0.0341   0.0321 -99.9900  -9.9900 -99.9900  -9.9900   0.1265   0.0242 -99.9900  -9.9900 -99.9900  -9.9900   0.6400   0.0600 -99.9900 -99.9900   2.8100
2005am     0.4000   0.0910   0.0370   0.0330   0.0100   0.0500  13.6200   0.0400  13.6000   0.0300   0.0218   0.0194   0.0095 -99.9900  -9.9900  -0.2700   0.0600   0.0155   0.0138 -99.9900  -9.9900   1.7300   0.0500   0.8900   0.0500 -99.9900   1.0100   0.9500
2005cf    -0.1470   0.0810   0.2080   0.0700  -0.0500   0.0700  13.2400   0.0700  13.2800   0.0500   0.1224   0.0412   0.0070  12.8400   0.0800  -0.3800   0.0800   0.0869   0.0293   1.3000   0.0900   1.0600   0.0800   0.6100   0.0600   3.0500   3.0300   1.0000
2005el     0.2100   0.0600   0.0120   0.0130  -0.0500   0.0800  14.8400   0.0800  14.8800   0.0600   0.0071   0.0076   0.0148  14.2800   0.1000  -0.5300   0.1000   0.0050   0.0054   1.6500   0.1700   1.2300   0.1100   0.7900   0.1000   8.8400   4.8500   4.8500
2005eq    -0.3090   0.0450   0.1040   0.0470   0.0300   0.0700  16.2800   0.0600  16.2500   0.0500   0.0612   0.0276   0.0284  15.7700   0.0800  -0.4700   0.0900   0.0435   0.0196   1.1800   0.1300   0.8600   0.1100   0.4900   0.1000   5.7800   5.7900   5.7800
2005eu    -0.3190   0.0560   0.0520   0.0380 -99.9900  -9.9900 -99.9900  -9.9900  16.3900   0.0800   0.0306   0.0224   0.0341 -99.9900  -9.9900 -99.9900  -9.9900   0.0217   0.0159 -99.9900  -9.9900 -99.9900  -9.9900   0.6700   0.1500 -99.9900 -99.9900   7.8900
