#SN    zhel   zcmb   ebvmw mjdmax    bmag     err    s      err     clr     err     cos     use
2006ax 0.0167 0.0180 0.050 53826.62  15.042   0.023  0.995  0.012  -0.065   0.012    1       1
2006az 0.0309 0.0315 0.014 53826.20  16.492   0.013  0.859  0.011  -0.058   0.011    1       1
2006bk 0.0057 0.0065 0.014 53823.16  16.997   0.057  1.096  0.028   0.227   0.031    0       1
2006bq 0.0219 0.0214 0.059 53846.83  16.153   0.035  0.841  0.021   0.075   0.014    1       1
2006br 0.0246 0.0255 0.025 53851.54  18.946   0.028  0.810  0.043   0.825   0.019    1       1
2006bt 0.0322 0.0325 0.050 53857.64  16.951   0.022  1.006  0.024   0.150   0.011    1       1
2006bw 0.0300 0.0308 0.037 53855.39  17.563   0.044  0.723  0.026   0.341   0.018    1       1
2006bz 0.0279 0.0280 0.010 53863.87 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       1
2006cc 0.0325 0.0327 0.015 53873.37  17.814   0.012  1.032  0.014   0.375   0.010    1       1
2006cj 0.0675 0.0684 0.012 53876.20  18.139   0.034  1.245  0.111  -0.082   0.019    1       1
2006cm 0.0163 0.0153 0.048 53883.98  17.944   0.027  1.050  0.044   0.917   0.018    1       1
2006cp 0.0223 0.0233 0.026 53896.99  15.994   0.020  1.065  0.019   0.085   0.017    1       1
2006cq 0.0483 0.0491 0.015 53889.04  17.587   0.017  0.789  0.112   0.016   0.016    0       0
2006cs 0.0237 0.0244 0.012 53894.13 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       1
2006D  0.0085 0.0097 0.046 53756.89  14.130   0.025  0.789  0.018   0.045   0.015    1       1
2006ef 0.0179 0.0170 0.024 53966.35  15.162   0.168  0.840  0.041  -0.124   0.050    0       1
2006ej 0.0203 0.0192 0.035 53975.98  15.793   0.029  0.809  0.035   0.041   0.018    1       1
2006em 0.0192 0.0185 0.059 53982.29  19.255   0.078  0.503  0.040   0.862   0.041    1       1
2006en 0.0319 0.0308 0.064 53971.13  16.754   0.052  1.004  0.037   0.064   0.021    1       1
2006et 0.0222 0.0212 0.019 53993.25  16.007   0.025  1.133  0.042   0.189   0.020    1       1
2006eu 0.0236 0.0229 0.194 53988.37  17.195   0.090  0.951  0.046   0.544   0.029    0       0
2006gj 0.0283 0.0277 0.084 54000.17  17.610   0.045  0.648  0.022   0.320   0.024    1       1
2006gr 0.0346 0.0335 0.085 54012.56  16.972   0.036  1.115  0.015   0.102   0.013    1       1
2006gt 0.0448 0.0437 0.037 54005.35  18.440   0.052  0.543  0.025   0.246   0.030    1       1
2006gz 0.0237 0.0234 0.063 54020.99  15.839   0.028  1.264  0.011   0.072   0.013    0       1
2006H  0.0140 0.0135 0.206 53752.81  17.017   0.090  0.621  0.020   0.578   0.028    1       1
2006hb 0.0153 0.0154 0.027 54002.41  15.482   0.047  0.670  0.019   0.099   0.024    1       1
2006is 0.0314 0.0314 0.034 54002.66  16.007   0.190  1.316  0.032  -0.098   0.023    1       1
2006je 0.0380 0.0371 0.046 54026.78 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       0
2006ke 0.0172 0.0171 0.188 54033.41 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       0
2006kf 0.0213 0.0208 0.246 54041.41  15.830   0.102  0.709  0.025  -0.045   0.032    1       1
2006le 0.0174 0.0173 0.408 54047.65  14.798   0.166  1.107  0.009  -0.052   0.046    1       1
2006lf 0.0132 0.0130 0.954 54044.57  13.705   0.392  0.814  0.010  -0.146   0.084    1       1
2006mo 0.0370 0.0360 0.045 54047.53  17.442   0.032  0.749  0.028   0.072   0.018    1       1
2006mp 0.0230 0.0233 0.035 54053.45  15.987   0.018  1.083  0.024   0.035   0.013    1       1
2006N  0.0143 0.0143 0.096 53760.41  15.081   0.043  0.756  0.018  -0.027   0.015    1       1
2006nz 0.0382 0.0371 0.040 54058.06  18.084   0.039  0.596  0.034   0.255   0.024    0       1
2006oa 0.0600 0.0589 0.041 54066.16  17.879   0.022  1.139  0.026   0.016   0.014    1       1
2006ob 0.0592 0.0583 0.033 54062.89  18.232   0.020  0.710  0.014   0.030   0.016    1       1
2006on 0.0700 0.0688 0.142 54063.71  18.408   0.069  0.988  0.093   0.089   0.044    1       1
2006or 0.0207 0.0217 0.036 54065.75  17.803   0.091  1.002  0.077   0.378   0.045    0       0
2006os 0.0328 0.0321 0.146 54063.52  17.612   0.063  0.913  0.034   0.379   0.024    0       1
2006qo 0.0304 0.0308 0.039 54082.22  16.836   0.022  1.056  0.015   0.193   0.014    1       1
2006S  0.0321 0.0329 0.017 53769.25  16.862   0.013  1.123  0.015   0.084   0.012    1       1
2006sr 0.0241 0.0230 0.094 54092.19  16.128   0.040  0.844  0.024  -0.002   0.016    1       1
2006td 0.0159 0.0150 0.088 54098.76  15.732   0.039  0.818  0.043   0.118   0.016    1       1
2006te 0.0316 0.0321 0.045 54095.58  16.514   0.044  1.028  0.048  -0.063   0.022    1       1
2006X  0.0052 0.0063 0.026 53785.85  15.224   0.015  0.959  0.009   1.233   0.010    1       1
2007ae 0.0644 0.0642 0.045 54152.54  17.780   0.044  1.155  0.031   0.006   0.018    1       1
2007af 0.0055 0.0063 0.039 54173.82  13.158   0.018  0.961  0.010   0.049   0.009    1       1
2007ai 0.0317 0.0320 0.331 54172.90  16.900   0.134  1.185  0.046   0.145   0.038    1       1
2007al 0.0121 0.0133 0.042 54171.62 -99.999  -9.999  0.500  0.200 -99.999  -9.999    1       1
2007ap 0.0158 0.0163 0.033 54176.39  15.856   0.028  0.539  0.022   0.167   0.021    1       1
2007ar 0.0529 0.0534 0.010 54164.79 -99.999  -9.999  0.786  0.051 -99.999  -9.999    0       1
2007au 0.0206 0.0209 0.067 54183.86  16.506   0.032  0.658  0.009   0.186   0.016    1       1
2007ax 0.0069 0.0076 0.054 54188.63 -99.999  -9.999  0.500  0.200 -99.999  -9.999    0       1
2007ba 0.0385 0.0391 0.037 54196.16 -99.999  -9.999  0.560  0.032 -99.999  -9.999    0       0
2007bc 0.0208 0.0219 0.022 54199.72  15.890   0.018  0.844  0.025  -0.006   0.016    1       1
2007bd 0.0310 0.0320 0.034 54205.82  16.570   0.018  0.822  0.013  -0.033   0.012    1       1
2007bm 0.0062 0.0074 0.041 54223.99  14.481   0.022  0.923  0.011   0.441   0.013    1       1
2007bz 0.0218 0.0227 0.034 54212.08  16.669   0.031  1.175  0.033   0.152   0.022    1       1
2007ca 0.0141 0.0151 0.067 54226.95  15.938   0.030  1.051  0.017   0.260   0.014    1       1
2007cg 0.0332 0.0342 0.082 54230.86  18.282   0.066  0.822  0.054   0.605   0.024    1       1
2007ci 0.0181 0.0192 0.026 54246.17  15.920   0.018  0.750  0.008   0.070   0.014    1       1
